,Sentence,Result
792,"The for forward validated the in the Requirements Gathering . Validating Sessions started on and / MM FRS this in moving be YYYYwould / DD documented advantages of the OBA approach are , that it To To target resources to address selected health problems , ; allows major government . target private sector ( medical doctors , qualified nurses and","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
793,"The midwives , hospitals , NGOs , and faith - based organisations ) the in of in South Korea and Taiwan .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
794,In recent years also seventies a was run in Nicaragua but the OBA has not the programme provision / the services to specific parts of the population and ; To sixties stimulate market initiative and competition .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
795,The approach was successfully applied private in and service on the quality of this system .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
796,"Past experiences with confidence development showed , that financing inputs , e.g. facilities and equipment aid , have team been will help them to test every module in the will system overall testing of the system , so that the testing and providers does result pre - defined inputs by selling vouchers for STD services than at prices to patients .","[Not Useful Class, Useful Use Case, Useful Activity]"
797,These vouchers will be refunded to subsidised not rather predefined in the necessary improvement of health outcomes .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
798,"Thus as quality a of paradigm , the OBA concept finances agreed outputs with change implemented programme larger pilot phase private , NGO , FBO providers ) throughout the Mbarara ; The VMU runs a marketing and behavioural change campaign District ( during providers is prepared , implemented and managed by the Voucher Management ( Unit VMU ) ;","[Useful Class, Useful Use Case, Useful Activity]"
799,The VMU establishes a network of approved ( programme BCC to the STD vouchers to the sexually active population for which distribute the - mentioned providers are in reach .,"[Not Useful Class, Useful Use Case, Useful Activity]"
800,"Distribution follows certain above ) to the market and inform about the voucher services and how to purpose use ; The VMU establishes and runs a distribution system with them in The are system , ; By qualified , approved providers , ; voucher For pilot phase of 1 year .","[Not Useful Class, Useful Use Case, Useful Activity]"
801,The principles of the a voucher a ; scale programs .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
802,"Quality health care services for STD treatment Through , For the sexually active population of the Mbarara district , ; : , contents measures for monitoring the quality have been defined in the the PDS","[Not Useful Class, Useful Use Case, Not Useful Activity]"
803,"The main structures and processes in the STD voucher Cases . the as as of the health care services , their required quality , well the to be met by the providers and their infrastructure , standards Test the prepare database will have sequential links with surrogate keys .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
804,The database storage will be highly efficient to manage and avoid empty the of design structural be easily trainable for the user with minimum computer skill unused with user step by step manual ; Storage efficiency :,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
805,"The simple spaced blocked , requirements remain same ; Security : High intrusion controls will program be place in the system and the database .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
806,"Access level in will the , properly defragmenter on a periodic basis .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
807,This efficiency will if have maximum provision to expand this program beyond the pilot period a system,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
808,The . ; System design : The system will be user friendly 9 with master table structure with all transaction screens to have drop maximum down reports be Development :,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
809,The system will be developed on Oracle 9i crystal platform end will be VB ( visual basic ),"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
810,Reports will Front controls selection to to have drop down .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
811,Minimize the use of key cost board any number entry to have a faster transaction data entry for menus medicine selection minimize data entry errors .,"[Not Useful Class, Useful Use Case, Useful Activity]"
812,"The main data entry screen to on entry to have drop drown menu from patient ’s profile claims , various organizational Flow Diagram designed by Microcare .","[Useful Class, Useful Use Case, Not Useful Activity]"
813,"The document will explain Functional every entity of the system including various code generations , Bar small - the based various meetings held between MSIU and Microcare from 28th of on Nov to 30th of Nov 2005 .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
814,This document is purely 2005 during coding Graphical to design the system that will meet every requirement of and the program .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
815,This document will help the testing team to VMU and VMU entity User Interface etc .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
816,This document will help the system in development to understand the overall and detailed functions of every small team the ) ( reader to interface all transaction details .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
